queries,response
"Labour Party, Keir Starmer, United Kingdom, Leader of the Labour Party of the United Kingdom, Conservative Party",0
"Fireworks, Independence Day (United States), New York, Macy's",0
"Lancashire, 2024, General election, Polling station, United Kingdom",0
"Baltimore Orioles, Dean Kremer, Seattle Mariners, Ryan O'Hearn, Pitcher",0
"Copa América, Chelsea F.C., Ecuador national football team, Enzo Fernández, Argentina national football team, Midfielder",0
"Severe weather, Thunderstorm",0
"General election, Exit poll, Liberal Democrats, West Sussex, Labour Party",5
"South Padre Island, Sharks, Texas, Independence Day (United States)",0
"X, Disinformation, United Kingdom general elections overview, General election",0
"Nigel Farage, Barnsley, United Kingdom",0
"Luka Dončić, Slovenia, Dallas Mavericks, Basketball",0
"Wimbledon, Andy Murray, Tennis, Jamie Murray, Novak Djokovic, Centre Court | Wimbledon",0
"Oakland Athletics, Los Angeles Angels, Pitcher",0
"Nathan's Hot Dog Eating Contest, Nathan's Famous, Hot dog, Joey Chestnut, Miki Sudo, Patrick Bertoletti",0
"United Kingdom, Economy, Gross domestic product, Economic growth, Rishi Sunak",0
"Conservative Party, Rishi Sunak, Steve Baker, Kemi Badenoch, Leadership",0
"Chicago Cubs, Principal component analysis, Philadelphia Phillies",0
"Esporte Clube Bahia, Esporte Clube Juventude, Campeonato Brasileiro Série A",0
"Colorado Rockies, Milwaukee Brewers, Colin Rea, Rhys Hoskins, Christian Yelich",0
"Zack Short, Atlanta Braves, San Francisco Giants, St. Louis Cardinals, Shortstop, Orlando Arcia",0
"Texas Rangers, San Diego Padres, Nathaniel Lowe, Nathan Eovaldi, Pitcher",0
"Valdosta, Fireworks, Georgia",0
"Oil refinery, Scotland, Scottish National Party",0
"Baltimore Orioles, Texas Rangers, Corbin Burnes, MLB",0
"New York Yankees, Cincinnati Reds, Aaron Judge",0
"Cristiano Ronaldo, Portugal national football team, UEFA Euro 2024, Ambush marketing, Slovenia national football team",0
"Colorado Rockies, Willy Adames, Ejection, Milwaukee Brewers",0
"International Criminal Court, Israel, Benjamin Netanyahu, Warrant, United Kingdom",5
"Tampa Bay Rays, Kansas City Royals, Zack Littell",0
"Detroit Tigers, Minnesota Twins, MLB, Carson Kelly",0
"John Deere Classic, PGA TOUR, TPC Deere Run, Jordan Spieth",0
"Argentina, Copa América, Lionel Messi",0
"Toronto Blue Jays, Houston Astros, MLB",0
"Milwaukee Brewers, Tampa Bay Rays, Pitcher",0
"Jaws, Steven Spielberg, Richard Dreyfuss, Robert Shaw, Roy Scheider",0
"Fireworks, Twitch, YouTube",0
"Beverly Hills Cop, Eddie Murphy, Axel Foley, Action, Netflix, Judge Reinhold",0
"Ecuador national football team, Mexico, 2024 Copa América, Ecuador",0
"California, The Bakersfield Californian, Shafter, Fireworks",0
"Boston Red Sox, Miami Marlins, Nick Pivetta, Tyler O'Neill, Pitcher",0
