queries,response
"Earthquake, Peru, Richter scale, Tsunami warning system",0
"Monolith, Colorado, Las Vegas",0
"Candidate, Democratic Party",5
"Joe Biden, Debate, Donald Trump, Republican Party, Geoff Duncan, Democratic Party",5
"Camila Cabello, Drake",0
"George Stephanopoulos, Good Morning America, Alexandra Wentworth, Robin Roberts, Eastern Orthodox Church, Archdiocesan Cathedral of the Holy Trinity",0
"2024, Political cartoon, June 28, Pakistan",0
"Republican National Convention, Republican Party, Milwaukee",5
"Ukraine, Russia, Chasiv Yar",0
"Indiana Fever, WNBA, Seattle Storm, Chicago Sky, Gucci, Iowa Hawkeyes women's basketball, Atlanta Dream",0
"North Korea, United States, Donald Trump, South Korea, Thomson Reuters Corporation",5
"Edmonton Elks, BC Lions, Canadian Football League, Detroit Lions, Vernon Adams Jr.",0
"Debate, Devon, Cornwall, General election, Liberal Democrats, Candidate",5
"Democratic Party, George Latimer, Primary election, New York's 16th Congressional District, AIPAC",5
"Robert F. Kennedy Jr., North Carolina, Ballot, Ballot access, Cornel West, Democratic Party",5
Afghanistan,0
"United States presidential debates, Debate, Stock, Asia–Pacific, China",5
"Donald Trump, Afghanistan, President of the United States, Reuters",5
"Libertarian Party, Libertarianism, Presidential election, Donald Trump, John Stossel, Candidate",5
