queries,response
"Belgium national football team, Thibaut Courtois, Real Madrid CF, France national football team, UEFA Euro 2024, Domenico Tedesco, France",0
"Kevin De Bruyne, Manchester City F.C., Belgium national football team, UEFA European Championship",0
"Steven Stamkos, Tampa Bay Lightning, National Hockey League, Nashville Predators, Free agent",0
"Flash flood, Kansas, Flash flood warning, National Weather Service",0
"Somalia, Flood, Flash flood, Reuters, 2024, Mogadishu",0
"Chicago Blackhawks, National Hockey League, Patrick Maroon, Laurent Brossoit, Craig Smith, Goaltender, Boston Bruins, Daily Faceoff, Winnipeg Jets",0
"Belgium, Remco Evenepoel, Tour de France, UEFA Euro 2024",0
"Abortion, Republican Party, Arizona, Supreme Court of the United States, Ballot, Donald Trump",5
"Electric vehicle, Battery charger, Israel, Charging station, Norway",0
"Buffalo Sabres, Jason Zucker, National Hockey League, Vancouver Canucks",0
"Charlotte, Charlotte-Mecklenburg Police Department, Police officer, Body camera",0
"Sony PlayStation, PlayStation Network",0
"Supreme Court of the United States, Social media, Joe Biden",5
"European Union, France, National Rally, Emmanuel Macron, Jordan Bardella, Euro",0
"Carolina Hurricanes, Jaccob Slavin, National Hockey League, Defenseman, Jordan Martinook",0
"Stefan Noesen, New Jersey Devils, Carolina Hurricanes",0
"Supreme Court of the United States, Corruption",5
"Kasperi Kapanen, St. Louis Blues, National Hockey League, Ice hockey, Pittsburgh Penguins, Toronto Maple Leafs",0
"Rick Ross, Drake, Kendrick Lamar, Canada",0
"Potato cake, Arby's, Potato, Kyle MacLachlan, Fast-food restaurant",0
"New York Knicks, Mitchell Robinson, NBA, Mikal Bridges, Josh Hart, Jalen Brunson",0
"Uruguay national football team, United States men's national soccer team, 2024 Copa América, Uruguay",0
"Jonathan Drouin, Colorado Avalanche, National Hockey League, Montreal Canadiens, Nathan MacKinnon",0
"Supreme Court of the United States, Law",5
"Kylian Mbappé, Real Madrid CF, Paris Saint-Germain F.C.",0
"John Roberts, Supreme Court of the United States, Chief Justice",5
"Structure fire, Necedah, Juneau County",0
"OpenSSH, Vulnerability, Arbitrary code execution, Secure Shell, Linux, Common Vulnerabilities and Exposures, Computer security",0
"Sam Steel, Dallas Stars, National Hockey League, Minnesota Wild, Jim Nill",0
"Andrew Mangiapane, Calgary Flames, Washington Capitals, National Hockey League",0
"Russia, Industrial production, Manufacturing, S&P Global, Purchasing Managers' Index",0
"Manufacturing, United Kingdom",0
"Tesla, NASDAQ:TSLA, Nasdaq, Stifel",0
"Wimbledon, Iga Świątek, Tennis, Aryna Sabalenka, Women's Tennis Association, Coco Gauff, Sofia Kenin, Elena Rybakina",0
"Nashville Predators, NHL entry draft, Ice hockey",0
"Chewy, Stock market, Stock, Boeing, Spirit AeroSystems, Tesla",0
"Finance, Risk management",0
"Utah Utes football, Morgan Scalley, Kyle Whittingham, Defensive coordinator, Head coach, College Football",0
Supreme Court of the United States,5
"Ridley Scott, Gladiator, Pedro Pascal, Joseph Quinn, Russell Crowe, Connie Nielsen, Denzel Washington",0
"Supreme Court of the United States, Associated Press",5
"Funko, Team Fortress 2",0
Auto mechanic,0
"Lonavala, Bhushi Dam, Pune, Waterfall",0
"Fuel tax, Illinois, July 1",0
"Türkiye, Syria, Recep Tayyip Erdoğan, Riot, Kayseri, Refugee",0
"Boston Celtics, NBA, Daniel Theis",0
