queries,response
"Pakistan, Zimbabwe national cricket team, One Day International, Twenty20 International, Zimbabwe, International Cricket Council",0
"New York Yankees, MLB, Boston Red Sox",0
"Carlo Maria Viganò, Pope Francis, Vatican City, Catholic Church, Holy See, Excommunication, Archbishop",0
"Forecasting, 2024, July 6",0
"UConn Huskies women's basketball, WNBA, Seattle Storm, Chicago Sky, College basketball",0
"Alex de Minaur, Wimbledon, Lucas Pouille, Tennis",0
"Flood, Wisconsin, Manawa, Flash flood",0
"Minnesota Twins, Houston Astros, MLB, Designated hitter",0
"Pancake, Social media, Scrambled eggs, Kaiserschmarrn",0
"South Africa national rugby union team, Ireland national rugby union team, Rassie Erasmus",0
"Detroit Tigers, Cincinnati Reds, Parker Meadows",0
"Ranger Suárez, Philadelphia Phillies, Pitcher, MLB, Atlanta Braves",0
"Virat Kohli, Neem Karoli Baba, Anushka Sharma, India national cricket team, Cricket",0
"Canada men's national soccer team, Venezuela national football team, Copa América",0
"Los Angeles Dodgers, Milwaukee Brewers, Freddie Freeman",0
"Switzerland national football team, UEFA Euro 2024, Switzerland, England national football team, Murat Yakin, Granit Xhaka",0
"Volcano, Mount Etna, Volcanic eruption, Italy, Lava, Stromboli, Sicily",0
"Canada, Copa América, Injury in humans, Inter Milan",0
"NASCAR, NASCAR Cup Series, Chicago",0
"Tampa Bay Rays, Texas Rangers, Corey Seager, Shane Baz, Michael Lorenzen",0
"Los Angeles Sparks, Las Vegas Aces, WNBA, Dearica Hamby",0
"Dallas Cowboys, Jerry Jones, NFL, Saudi Arabia, Craig Carton",0
"Ken Jennings, Ryan Seacrest, Wheel of Fortune, Jeopardy!, Pat Sajak, Mayim Bialik, Alex Trebek",0
"Tropical cyclone, Texas",0
"FC Juárez, Liga MX, Atlas F.C., 2024",0
"San Francisco Giants, Blake Snell, Cleveland Guardians, Alex Cobb, Pitcher",0
"Israel, Denmark, Hezbollah",0
"Pittsburgh Pirates, New York Mets, MLB, Rowdy Tellez",0
"July 6, Althea Gibson, Wimbledon, Associated Press",0
"Seattle Mariners, Toronto Blue Jays, Luis Castillo, Luke Raley, Pitcher",0
"Panama national football team, Colombia national football team, 2024 Copa América",0
"Wimbledon, Tennis player, Isle of Man, Europe, Jaume Munar",0
"Novak Djokovic, Iga Świątek, Wimbledon, Grand Slam, Roger Federer",0
"British Grand Prix, McLaren, Formula 1, Lando Norris, Silverstone Circuit, Max Verstappen, Red Bull Racing",0
"Indiana Fever, New York Liberty, WNBA",0
"Chile, Canada, 2024 Copa América",0
"Colorado Rockies, Kansas City Royals, Brenton Doyle",0
"Netherlands, Türkiye, Turkey national football team, UEFA Euro 2024",0
"Venezuela, Copa América, Mexico, Venezuelans",0
"John Deere Classic, PGA TOUR, Aaron Rai, Pan Cheng-tsung, TPC Deere Run",0
"Market research, Analysis, Forecasting",0
Mike Heslin,0
"IndyCar Series, Mid-Ohio Sports Car Course, Hybrid vehicle",0
"Club Tijuana, Querétaro F.C., Liga MX",0
"Sami Zayn, WWE, WWE Money in the Bank, Johnny Knoxville, Toronto",0
"Serine Sanneh, England national football team, Jamal Musiala, Cole Palmer, UEFA European Championship, Birmingham City F.C.",0
"Lanka Premier League, Sri Lanka",0
"Portland Thorns FC, National Women's Soccer League, Providence Park",0
"New Zealand national rugby union team, Rugby union, Scott Barrett, Crusaders, Beauden Barrett",0
"Baltimore Orioles, Oakland Athletics, MLB",0
"Washington Commanders, NFL, Training camp",0
"Economic Community of West African States, Eco, Nigeria, Finance, Finance minister, Central bank",0
"Philippines, South China Sea",0
"St. Louis Cardinals, Washington Nationals, Willson Contreras, MLB",0
"Tropical cyclone, Coastal Health District, Preparedness, Emergency evacuation",0
"Derailment, North Dakota, Railroad car, Hazardous and Toxic Materials",0
"San Diego Padres, Arizona Diamondbacks, Manuel Machado, Jurickson Profar",0
"Forest, Wildfire, High Level",0
"Singapore, China, Startup company, Artificial intelligence industry in China",0
"Harrah's Hoosier Park Casino Racetrack, Indiana, Horse racing, Harness racing",0
"Pamplona, Running of the bulls, Festival of San Fermín, Spain, Bullfighting",0
"United Bank for Africa, Delta, Bank robbery, Security",0
