queries,response
"Stingray, Aquarium & Shark Lab by Team ECCO, Charlotte",0
"July 3, Battle of Gettysburg, Union, Confederate States of America, 2024",0
"Costa Rica national football team, Paraguay national football team, 2024 Copa América",0
"Beverly Hills Cop, Eddie Murphy, Axel Foley, Action, Judge Reinhold, John Ashton",0
"WestJet, Strike action, Canada",0
"Alzheimer's disease, Food and Drug Administration, Eli Lilly and Company, Dementia",0
"Minnesota Twins, Detroit Tigers, Royce Lewis",0
"Air Europa, Turbulence",0
"Suki Waterhouse, Bradley Cooper, Robert Pattinson",0
"SpaceX, Falcon 9, Cape Canaveral Space Force Station",0
"Baltimore Orioles, Seattle Mariners, Grayson Rodriguez, Pitcher",0
"Proposition bet, Chicago Cubs, Philadelphia Phillies, MLB, Miami Marlins",0
"Jamaica, Tropical cyclone",0
"Washington Mystics, Los Angeles Sparks, WNBA",0
"Electronic invoicing, Invoice, Saudi Arabia, Value-added tax, Tax Administration",0
"Texas Rangers, San Diego Padres, Nathaniel Lowe, Nathan Eovaldi",0
"Oklahoma State Cowboys football, Driving under the influence, Running back, College Football",0
"Coldplay, Glastonbury Festival, Michael J. Fox, Chris Martin",0
"Brazil national football team, Vinicius Junior, 2024 Copa América, Real Madrid CF",0
"Frankie Montas, New York Yankees, Pitcher, Cincinnati Reds",0
"Indiana Fever, WNBA",0
"World Cup, Brazil, Brazil national football team, Pelé",0
"Archaeology, Archaeologist, Reliquary, Moses, Ten Commandments, Austria, Relic",0
"Rudy Giuliani, Disbarment, Donald Trump, Mayor of New York City",5
"Ann Wilson, Heart, Concert tour, Nancy Wilson",0
"Missing person, United States Marshals Service",0
"China, Juvenile delinquency",0
"Waste collection, Independence Day (United States), July 4",0
"Netflix, Minesweeper",0
"FTSE 100 Index, Stock, London Stock Exchange, Stock market",0
"WNBA All-Star Game, Chicago Sky, Indiana Fever",0
"Ratha Yatra, Odisha, Shree Jagannatha Temple Puri",0
"Islamic New Year, Public holiday, United Arab Emirates, Islam, Hijri Calendar",0
"Stabbing, Queensland, Innisfail",0
"Zayn, One Direction, Gigi Hadid",0
"Food and Drug Administration, Mercury, Ecowaste Coalition, Skin whitening, Cebu, Philippines",0
"Israel, Stabbing, Stabbing as a terrorist tactic, Terrorism, Karmiel",0
"Shohei Ohtani, National Baseball Hall of Fame and Museum, Los Angeles Dodgers, Yoshinobu Yamamoto, Dave Roberts, Torey Lovullo, Arizona Diamondbacks, Japan",0
"Academy of Motion Picture Arts and Sciences, S. S. Rajamouli, Academy Awards, Lily Gladstone",0
"Greece, Wildfire, Kazakhstan, Yacht, Kazakhs",0
"Windfall tax, Petroleum, India",0
"Etsy, Sexual content",0
"Bebe Rexha, Music industry",0
