queries,response
"FC Cincinnati, Inter Miami CF, MLS",0
"Brazil national football team, 2024 Copa América, Vinicius Junior, Uruguay",0
"Uruguay national football team, Copa América, Uruguay, Marcelo Bielsa, Leeds United",0
"Pelé, Brazil national football team, Brazil",0
"C.D. Guadalajara, Deportivo Toluca F.C., Liga MX",0
"Boxing, Nate Diaz, Jorge Masvidal, Floyd Mayweather Jr.",0
"Norwich City F.C., Copa América, Panama, Josh Sargent, EFL Championship",0
"Damian Priest, Seth Rollins, WWE Money in the Bank, WWE Monday Night RAW",0
"Brazil national football team, Copa América",0
"Sami Zayn, Chad Gable, WWE Intercontinental Championship, Bron Breakker, WWE Money in the Bank",0
"Shakur Stevenson, Artem Harutyunyan, Boxing, Top Rank",0
"C.F. Pachuca, C.F. Monterrey, Liga MX, Club América",0
"Los Angeles Dodgers, Milwaukee Brewers, Freddie Freeman",0
"Minnesota Lynx, Connecticut Sun, WNBA, Napheesa Collier",0
"Brazil, 2024, Automotive industry",0
"Orlando City SC, D.C. United, MLS",0
"Jon Landau, Film producer, Titanic, Avatar, James Cameron, Academy Awards, Lightstorm Entertainment",0
"James Rodríguez, Colombia national football team, 2024 Copa América",0
"AJ Mendez, CM Punk, Drew McIntyre, WWE Monday Night RAW, Money in the Bank ladder match",0
"San Antonio Spurs, Devonte' Graham, Charlotte Hornets, NBA",0
"Real Salt Lake, Atlanta United FC, MLS",0
"Golden State Warriors, Miami Heat, NBA Summer League",0
"WWE, Money in the Bank ladder match",0
"Clube de Regatas do Flamengo, Cuiabá Esporte Clube, Campeonato Brasileiro Série A",0
"United States men's national soccer team, Uruguay national football team, Gregg Berhalter, U.S. Soccer, 2024 Copa América",0
"Naomi, WWE, Ariane Andrew, Funkadactyls",0
"Orlando Pride, National Women's Soccer League, Kansas City",0
"Flood warning, Flash flood, Missouri River, National Weather Service",0
"Red Bull Bragantino, São Paulo FC, Campeonato Brasileiro Série A, Campeonato Paulista",0
"Jim Ross, WWE, Pay-per-view, Professional wrestling",0
"New York City FC, MLS, Austin",0
"New York Red Bulls, Philadelphia Union, MLS, Subaru Park",0
"FIBA, FIBA World Olympic Qualifying Tournament, Puerto Rico men's national basketball team, Mexico",0
"Wildfire, Placerville, El Dorado County Fire Station, Emergency evacuation",0
"Timothy Weah, Concacaf Nations League, Copa América, United States men's national soccer team, Panama national football team",0
"Panama national football team, Bolivia national football team, 2024 Copa América, Bolivia",0
"WWE, Chad Gable",0
"Philadelphia Phillies, Atlanta Braves, Trea Turner, Aaron Nola, Max Fried",0
"Netherlands, UEFA Euro 2024, Türkiye, Netherlands national football team",0
"Barbados, Tropical wave, Flood, Tropical cyclone, Flash flood",0
"San Diego Padres, Arizona Diamondbacks, Manuel Machado",0
"Los Angeles Lakers, NBA, LeBron James, Bronny James",0
"Real Madrid CF, UEFA Euro 2024, Turkey national football team, Wayne Rooney, Cristiano Ronaldo",0
"Nate Diaz, Conor McGregor, Ultimate Fighting Championship, Mixed martial arts, Dana White",0
"Copa América, MLS, 2024, Premier Sports, LA Galaxy, USL Championship",0
"Seattle Mariners, Toronto Blue Jays, Center fielder",0
"Columbus, Toronto FC, MLS",0
"Basketball, Phoenix Suns, NBA Summer League, Jamestown",0
"Texas Rangers, Tampa Bay Rays, Corey Seager, Shane Baz, Michael Lorenzen",0
"Mexico, Tropical cyclone, Americas",0
"Malik Monk, Sacramento Kings, NBA",0
"July 6, 2024",0
"Basketball, FIBA under-18 Asian Championship, FIBA, Australia",0
"Colorado Rockies, Kansas City Royals, Brenton Doyle",0
"Robert F. Kennedy Jr., Dog",0
"Kevin Owens, WWE SmackDown!, Professional wrestling, Randy Orton, Cody Rhodes, WWE Money in the Bank",0
"Detroit Tigers, Cincinnati Reds",0
"CF Montréal, Vancouver Whitecaps FC, MLS, Stadium Saputo",0
"Cruz Azul, Liga MX",0
"Beverly Hills Cop, Eddie Murphy, Axel Foley, Action, Judge Reinhold, Netflix",0
"San Francisco Giants, Blake Snell, Cleveland Guardians, Alex Cobb, Pitcher",0
"Def Leppard, Phil Collen, Concert tour, Journey, Promises, Pyromania",0
"Chicago White Sox, Miami Marlins",0
"Copa América, Mexico national football team, Mexico",0
"Ratha Yatra, Jagannath, International Society for Krishna Consciousness, Kolkata, Hinduism",0
"Bitcoin, Mt. Gox, Cryptocurrency exchange",0
"Formula 1, George Russell, Mercedes AMG Petronas F1 Team, British Grand Prix, Silverstone Circuit",0
Boxing,0
"Pennsylvania State Capitol Complex, Pennsylvania, Bomb threat, Harrisburg",0
"Jeff Hoffman, Philadelphia Phillies, Pitcher",0
"Ederson, Manchester City F.C., Goalkeeper, Al-Nassr FC, Premier League, Saudi Arabia, Saudi Pro League",0
"Vaquita, United States–Mexico–Canada Agreement, Porpoises, Mexico, Endangered species, Harbor porpoises",0
"Oakland Athletics, Baltimore Orioles, Brent Rooker, Pitcher",0
"Shohei Ohtani, Los Angeles Dodgers, Home run",0
"Emma Roberts, Julia Roberts, Eric Roberts",0
"St. Louis Cardinals, Washington Nationals, Willson Contreras, MLB",0
"Fernando Tatís Jr., San Diego Padres, Major League Baseball All-Star Game, Mike Shildt, Baseball Manager, MLB",0
"Lil Wayne, Hot Boys, Juvenile, B.G., Hip hop music, Turk, Birdman, Cash Money Records",0
"Iga Świątek, Wimbledon, Yulia Putintseva, Tennis",0
"Miami Heat, Bam Adebayo, NBA",0
"Rui Hachimura, Olympic Games Paris 2024, Japan men's national basketball team, Basketball, Gonzaga Bulldogs men's basketball, Japan, Tom Hovasse, Los Angeles Lakers",0
"Jigsaw, Saw, Serial killer, Logan Nelson, Tobin Bell, Eleanor Bonneville, Horror, Detective Keith Hunt, Amanda Young",0
"England national football team, Gareth Southgate, Trent Alexander-Arnold, Switzerland national football team, UEFA Euro 2024, Liverpool F.C.",0
"Shane van Gisbergen, NASCAR Cup Series, Chicago",0
"Justin Bieber, Mukesh Ambani, Mumbai",0
"New York Yankees, MLB, Boston Red Sox",0
"Pittsburgh Pirates, New York Mets, MLB",0
"Chelsea Green, Chad Gable, WWE Superstars, Professional wrestling, Piper Niven",0
"Philadelphia 76ers, Dario Šarić, NBA, Basketball, Golden State Warriors",0
"John Deere Classic, PGA TOUR, TPC Deere Run",0
"Connecticut, Thunderstorm, Humidity",0
