queries,response
"Sony PlayStation, PlayStation Network",0
"National Weather Service, Flood warning, Flash flood, Kansas, Severe weather, Dodge City",0
"Joe Biden, Supreme Court of the United States, Donald Trump, Mar-a-Lago Club",5
"China, Purchasing Managers' Index, Manufacturing",0
"Nasdaq, NASDAQ:TSLA, Tesla",0
"Vegas Golden Knights, Jonathan Marchessault, Free agent, National Hockey League",0
"France national football team, Kylian Mbappé, Poland, UEFA Euro 2024, France",0
"OpenSSH, Vulnerability, Arbitrary code execution, Secure Shell, Linux, Common Vulnerabilities and Exposures, Computer security, Qualys",0
"Finance, Risk management",0
"Belgium national football team, Ukraine national football team, UEFA Euro 2024",0
"Flood, New Mexico, Flash flood, Ruidoso, Albuquerque",0
"John Roberts, Supreme Court of the United States, Chief Justice",5
"Teuvo Teräväinen, Chicago Blackhawks, National Hockey League, Carolina Hurricanes",0
"Oklahoma City Thunder, NBA, Free agent, Shams Charania",0
"Canada Day, 2024",0
"Supreme Court of the United States, SCOTUSblog, July 1",5
"Dallas Mavericks, Tim Hardaway Jr., Detroit Pistons, Quentin Grimes, New York Knicks, NBA",0
"Wimbledon, Naomi Osaka, Diane Parry, Tennis",0
"Richard Bland, U.S. Senior Open, Hiroyuki Fujita, Newport Country Club",0
"adidas, Texas Tech University, Patrick Mahomes",0
"Nike, NYSE:NKE",0
"Supreme Court of the United States, Law",5
"Ridley Scott, Gladiator, Pedro Pascal, Joseph Quinn, Russell Crowe, Connie Nielsen, Denzel Washington",0
Supreme Court of the United States,5
"Supreme Court of the United States, Associated Press",5
"Tesla, Stock, Earnings, Wells Fargo, New York Stock Exchange, Finance, NYSE:WFC",0
"Belgium, Kevin De Bruyne, UEFA Euro 2024, Manchester City F.C., Ukraine, Domenico Tedesco",0
"Supreme Court of the United States, Corruption",5
"Lauri Markkanen, Utah Jazz, NBA",0
"Toronto Maple Leafs, Max Domi, National Hockey League",0
"Tropical cyclone, Hurricane Beryl, National Hurricane Center, Caribbean, Atlantic hurricane",0
"Manufacturing, S&P Global, Indonesia",0
"Potato cake, Arby's, Potato, Kyle MacLachlan, Fast-food restaurant",0
"England national football team, UEFA Euro 2024, Slovakia national football team",0
"South Africa, Absa Group, Purchasing Managers' Index",0
"Uruguay national football team, United States men's national soccer team, 2024 Copa América, Uruguay",0
"Kerasotes Theatres, ShowPlace ICON Theatre & Kitchen at Roosevelt Collection, Regal Secaucus ShowPlace, Chicago, AMC Theatres",0
"Lonavala, Bhushi Dam, Pune, Waterfall",0
"Carlos Alcaraz, Tennis, French Open, Novak Djokovic, Rafael Nadal, Alexander Zverev",0
"Russell Westbrook, LA Clippers, NBA, Denver Nuggets, Point guard",0
"KKR, Human resource management system, KKR & Co. Inc.",0
"Cleveland Guardians, Triston McKenzie, Pitcher",0
"Numerology, 2024, Lucky number, July 1",0
"Supreme Court of the United States, Georgia Public Service Commission, Georgia",5
"New York Islanders, Doug Houda, National Hockey League, Tommy Albelin, Lou Lamoriello, Coaching staff, New Jersey Devils",0
"Roku, Inc., NASDAQ:ROKU, Nasdaq",0
"Independence Day (United States), St. Louis, July 4, Missouri, Fireworks",0
"Hellboy, Jack Kesy, Guillermo del Toro, Mike Mignola",0
"Rick Ross, Drake, Kendrick Lamar, Canada",0
"USA Gymnastics, Simone Biles, Olympic Games Paris 2024, United States women's national artistic gymnastics team, Jade Carey, Jordan Chiles",0
"BlackRock, Preqin",0
"John Sharp, Chancellor, Texas A&M University System",0
"Canada Day, Ottawa, July 1",0
"Bradley Carnell, John Hackworth, MLS, Head coach, St. Louis",0
