queries,response
"Boston Red Sox, Toronto Blue Jays, Fenway Park",0
"Indiana Fever, Seattle Storm, WNBA, Jewell Loyd",0
"George Stephanopoulos, Good Morning America, Alexandra Wentworth, Robin Roberts, Michael Strahan",0
"Earthquake, Peru, Richter scale, Tsunami warning system",0
"Excessive heat warning, Coachella Valley, Humidity, Heat wave",0
"Zac Efron, Nicole Kidman, Joey King, Netflix, Romantic comedy",0
"Monolith, Colorado, Las Vegas",0
"Taylor Swift, Dublin",0
"St. Louis Cardinals, Cincinnati Reds, Pitcher",0
New Zealand,0
"Bulgaria, Common sunflower, Rapeseed",0
"New York Yankees, Toronto Blue Jays, George Springer, Carlos Rodón",0
"Kyle Schwarber, Philadelphia Phillies, Miami Marlins, National League, Bryce Harper",0
"Manchester United F.C., Uruguay national football team, Copa América, Uruguay, Erik ten Hag",0
"Debate, United States presidential debates, Joe Biden, Donald Trump",5
"NFL Sunday Ticket, Competition law",0
"Netflix, Louis Theroux",0
Final Fantasy XIV,0
"Orlando Pirates F.C., South African Premier Division",0
"China, Li Shangfu, Communist Party of China, Communism, Wei Fenghe, Central Military Commission, Corruption, Defence minister, Xi Jinping",5
"Covestro, Abu Dhabi National Oil Company, ADNOC, Takeover",0
"Alain-Guillaume Bunyoni, Burundi",0
"Accident, Karnataka, Haveri",0
"Manta rays, Google Maps",0
"Addus Homecare, Addus HomeCare, NASDAQ:ADUS, Home health nursing, Business Wire",0
"Meningitis, United Kingdom, Meningococcal disease, Foreign, Commonwealth and Development Office",0
"Pension, Democratic Party, Pension fund, Bob Casey Jr., Joe Biden",5
"Mt. Gox, Cryptocurrency exchange, Bitcoin Cash",0
"Sinkhole, Illinois, Football pitch, Alton",0
"Monsoon, Chandigarh, India Meteorological Department, Punjab, Meteorology",0
"Kansas City Royals, Cleveland Guardians, American League Central, MLB",0
"Russia, Ukraine, Aleksandr I. Bastrykin, Immigration, Naturalization",5
"PPC Ltd., Zimbabwe, Dividend",0
"Oceanside, Parade, June 29",0
"Wisconsin, Absentee ballot, Ballot",5
"Greenland, Arctic, Tourism",0
"Lenovo, Tablet computer, India, Ryzen, Video game console",0
"Leonardo AW609, Tiltrotor, Leonardo, Italian aircraft carrier Cavour, Italian Navy, Aircraft carrier",0
"June 28, Ohio, 2024",0
"Canada, India, Terrorism, Khalistan movement, Justin Trudeau",0
"Diplomacy, United Nations",0
"Donald Trump, Mar-a-Lago Club",5
"Guzman y Gomez, ASX",0
"KiwiRail, Interislander, Ferry, New Zealand, DEV Aratere",0
"Artificial intelligence, IBM",0
"Startup company, Cimex lectularius, Helsinki, Pesticide, Seed money, Venture capital",0
"United Arab Emirates, Mosque, Islam, Khutbah",0
"New Zealand Dollar, United States Dollar",0
"France, Far-right politics, National Rally",0
"Asian Development Bank, Kyrgyzstan, Grant, Sustainable tourism, Issyk Kul, Sustainability",0
"Candidate, Democratic Party",5
"Imran Khan, Bushra Bibi, Iddah, Pakistan Tehreek-e-Insaf",0
"School, Gã Mantse, The Church of Jesus Christ of Latter-day Saints, Ghana, Adabraka, Renovation, Accra",0
"Florida, WFLA-TV",0
"Cambodia, Hun Sen, Government-in-exile",0
"Ukraine, Finance, Government debt",0
"Seth Rollins, WWE Monday Night RAW, Damian Priest, Money in the Bank ladder match",0
"John Hlophe, Jacob Zuma, African National Congress",0
"Joko Widodo, Drought, Indonesia, Pump, Heat wave, Amran Sulaiman",0
"Chang'e 6, Far side of the Moon, China, Earth",0
"90 Day Fiancé, TLC",0
"Nigel Farage, Donald Trump",5
"ASX, S&P/ASX 200, Share, Stock market",0
"Vicky Kaushal, Tripti Dimri, Ammy Virk, Karan Johar, Dharma Productions",0
"Prion, Epigenetics, Epigenome editing, Protein, Medicine",0
"Kroger, Opioid, Settlement",0
"Mixed reality game, Trailer, Laser",0
Steam,0
"Kyrgyzstan, Kurmanbek Bakiyev",0
"Pan Pacific Hotels and Resorts, Gastroenteritis, Edge",0
"Viktor Orbán, Hungary, Ukraine, NATO, Vladimir Putin, Russo-Ukrainian War",0
"Codeshare agreement, Malta International Airport, Heathrow Airport",0
"Chris Finch, Minnesota Timberwolves, Head coach",0
