queries,response
"Marcelo Bielsa, Uruguay national football team, Copa América, CONMEBOL, United States men's national soccer team",0
"Panama national football team, Bolivia national football team, 2024 Copa América, Bolivia",0
"Krispy Kreme, Doughnut",0
"New York Mets, Brandon Nimmo, Washington Nationals, Carlos Mendoza",0
"Cristiano Ronaldo, Portugal national football team, UEFA Euro 2024, Slovenia national football team, Lionel Messi",0
"2024 Copa América, Argentina national football team, Uruguay national football team",0
"Six Flags, Cedar Fair Entertainment Company, Cedar Point, NYSE:FUN",0
"Monolith, Colorado, Las Vegas",0
"Joe Biden, Supreme Court of the United States, Donald Trump",5
"2024, July 1",0
"Boston Celtics, The NBA Finals, Jaylen Brown, Jayson Tatum",0
"Rafael Leão, AC Milan, Giorgio Chiellini, UEFA European Championship, Juventus F.C., Serie A, Cristiano Ronaldo",0
"Air Europa, Turbulence, Brazil, Boeing 787 Dreamliner",0
"Liv Morgan, WWE Monday Night RAW, Zelina Vega, Women's World Championship",0
"Angela Simmons, BET Awards, Joseph Simmons, Gun Tote'n Mamas",0
"Seattle Storm, Dallas Wings, WNBA, Jewell Loyd",0
"Arby's, Potato cake, Potato, Kyle MacLachlan",0
"Supreme Court of the United States, Chevron U.S.A., Inc. v. Natural Resources Defense Council, Inc., Law",5
"Bobby Bonilla, New York Mets, MLB",0
"Boston Celtics, Wyc Grousbeck, NBA, Boston Basketball Partners",0
"Celtic F.C., Martin Dúbravka, Newcastle United F.C., Goalkeeper, UEFA European Championship, Slovakia",0
"Goalkeeper, Abia Warriors F.C., IFFHS World's Best Goalkeeper, Nigeria Football Federation, Nigeria Federation Cup, El-Kanemi Warriors F.C.",0
"Francis Scott Key Bridge, The White House, Baltimore, United States Congress, Joe Biden, Disaster",5
"Chris Martin, Gwyneth Paltrow, Coldplay, Dakota Johnson",0
"Charlotte Hornets, Josh Green, Dallas Mavericks, Golden State Warriors, Klay Thompson, NBA, Sign-and-trade deal",0
"USA Gymnastics, Simone Biles, Olympic Games Paris 2024, United States women's national artistic gymnastics team, Jade Carey, Jordan Chiles",0
"Sika Anoaʻi, Roman Reigns, WWE, WWE Hall of Fame, Afa Anoaʻi, Anoaʻi family",0
American Ninja Warrior,0
"Vladimir Guerrero Jr., Toronto Blue Jays, Houston Astros, Isiah Kiner-Falefa",0
"Barry Diller, Paramount Pictures, IAC Inc, National Amusements, The New York Times, Skydance Media, Shari Redstone",0
"Wildfire, San Diego, Del Mar Heights",0
"Rick Ross, Drake, Kendrick Lamar, Canada",0
"Jamie Foxx, Corinne Foxx, Inpatient care",0
"Buffalo Sabres, Jeff Skinner, National Hockey League",0
"Usher, BET Awards, BET Lifetime Achievement Award, Keke Palmer",0
Supreme Court of the United States,5
"UEFA Euro 2024, France national football team, France",0
"England national football team, Slovenia, UEFA Euro 2024, Gareth Southgate",0
"Supreme Court of the United States, Lindsey Graham, Democratic Party, United States Senate, Republican Party",5
"Aviation accident and incident, Light aircraft, New York",0
"Virgo, Horoscope, Astrological sign, 2024",0
"EL AL, Türkiye, Israel, Emergency landing",0
"Wimbledon, Coco Gauff, Caroline Dolehide, Tennis",0
"Kevin De Bruyne, Manchester City F.C., Belgium national football team, UEFA European Championship",0
"Flood, Italy",0
"Independence Day (United States), July 4, 2024",0
"Romania national football team, Slovakia national football team, UEFA Euro 2024",0
"Lost, Netflix",0
"Patelco Credit Union, Credit union, Erin Mendez",0
"Kinkajou, Washington, Yakima, Point Defiance Zoo & Aquarium",0
"New Zealand, Australia, Mexico, Canada",0
"Fireworks, Surfrider Foundation, Independence Day (United States)",0
"Supreme Court of the United States, Voting Rights Act of 1965, Arkansas, Legal case",5
"Hunter Biden, Admission to practice law, Joe Biden, Law, New trial",5
"Ghana, Supreme court, LGBT, Law",0
"Ridley Scott, Gladiator, Pedro Pascal, Joseph Quinn, Russell Crowe, Connie Nielsen",0
Nexon,0
"United Kingdom, Met Office, Heat wave",0
"Jeffrey Epstein, Grand jury",5
"Stingray, Aquarium & Shark Lab by Team ECCO, Charlotte",0
"Ultra-processed food, Food processing, Healthy diet",0
"Roberto Martínez, Motherwell F.C., Portugal national football team",0
"WNBA, Atlanta Dream, Connecticut Sun",0
"Gypsy Rose Blanchard, Clauddine Blanchard",0
"Abortion, Iowa, Supreme Court of the United States",5
"Illinois, Fuel tax",0
"PBS NewsHour, 2024",5
"Romelu Lukaku, Belgium national football team, UEFA Euro 2024, Domenico Tedesco",0
"California, Excessive heat warning, National Weather Service",0
"Cleveland Guardians, Triston McKenzie, Pitcher",0
July 1,0
"California, Law, Gavin Newsom",5
"United States Capitol, Riot, Law enforcement, Felony",5
"Taraji P. Henson, BET Awards, Halle Bailey",0
"Seoul, Accident, South Korea, Pedestrian",0
"Wimbledon, Tennis player",0
"Türkiye, Syria, Riot, Recep Tayyip Erdoğan",0
