queries,response
"Earthquake, Peru, Richter scale, Tsunami warning system",0
"China, Li Shangfu, Communist Party of China, Communism, Wei Fenghe, Corruption, Central Military Commission, Defence minister, Xi Jinping",5
"Zac Efron, Nicole Kidman, Joey King, Netflix, Romantic comedy",0
"2024, Political cartoon, June 28, Pakistan",0
"Excessive heat warning, Coachella Valley, Humidity, Heat wave",0
"Manchester United F.C., Ruud van Nistelrooy, Erik ten Hag, Burnley F.C., PSV",0
"Joe Biden, Gavin Newsom, Democratic Party, Donald Trump",5
"Camila Cabello, Drake",0
"Good Morning America, Michael Strahan, Robin Roberts, George Stephanopoulos, Isabella Strahan, Rebecca Jarvis",0
"Monolith, Colorado, Las Vegas",0
"Morgan Stanley, India, Infrastructure",0
"Candidate, Democratic Party",5
"Norway, Deep sea mining, Arctic",0
"Ryuichi Sakamoto, Opus, Tong Poo, Yellow Magic Orchestra",0
New Zealand,0
"Cincinnati Reds, St. Louis Cardinals, Pitcher",0
"Sweden, Cashless society, Internet fraud",0
"STARZ, Michael Rainey Jr.",0
"Indiana Fever, WNBA, Seattle Storm, Chicago Sky, Gucci, Iowa Hawkeyes women's basketball, Atlanta Dream",0
"Lucy, Human evolution, Australopithecus afarensis, Ethiopia, Hominini",0
"Corruption, National Prosecuting Authority, Pretoria Magistrate's Court, Extortion, Bail",0
"Reserve Bank of India, Finance, Non-bank financial institution",0
"Ukraine, Russia, Cybercrime, Cyberattack",0
"Tunisia, Tourism, World Travel and Tourism Council",0
"Louisville Cardinals men's basketball, Pat Kelsey, Basketball, The Bahamas, Baha Mar Hoops Nassau Championship",0
"United States presidential debates, Debate, Stock, Asia–Pacific, China",5
"Steam, Valve Corporation",0
"Nikki Haley, Donald Trump Jr., Republican Party, Vice President of the United States, Joe Biden",5
"ESPY Award, Prince Harry, Duke of Sussex, Steve Gleason, Pat Tillman Award For Service, Arthur Ashe Courage Award, New Orleans Saints",0
"NFL Sunday Ticket, Competition law",0
"Air India, Airbus A350, Heathrow Airport, New Delhi",0
"Scotland national football team, Hungary national football team, UEFA Euro 2024, Steve Clarke",0
"Limited Liability Company, New York Stock Exchange, NYSE:OSG, Overseas Shipholding Group, NYSE:ALE",0
"Leviathan gas field, Natural gas, Israel, NewMed Energy, Chevron",0
"Iron ore, Commodity, Steel",0
"Submarine, South China Sea",0
"St. Peter's Fiesta, Gloucester, 2024",0
"Debate, Devon, Cornwall, General election, Liberal Democrats, Candidate, Plymouth",5
"Edmonton Elks, BC Lions, Canadian Football League, Detroit Lions, Vernon Adams Jr., Sean Whyte",0
"Siddharth Mallya, Vijay Mallya",0
"Donald Trump, Afghanistan, President of the United States, Reuters",5
"Uvalde, Indictment, Pete Arredondo, Robb Elementary School, School shooting",0
"Gavin Newsom, California, State of the State address",5
"Rohingya people, Myanmar (Burma), Rakhine, Bangladesh, Refugee",0
"North Korea, Shortage",0
"Philadelphia Phillies, Bryce Harper, Miami Marlins, Kyle Schwarber, Hamstring",0
