,raw-group,summarized-query
0,"Supreme Court of the United States, Social media, Joe Biden",SCOTUS Biden Social Media
1,"Supreme Court of the United States, Donald Trump",US Supreme Court Trump
2,"Civil and political rights, Civil Rights Act of 1964, Law",1964 Civil Rights Law
3,"Supreme Court of the United States, Corruption",US Supreme Court Corruption
4,"Jeffrey Epstein, Grand jury, Florida",Epstein Grand Jury Florida
5,Supreme Court of the United States,US Supreme Court
6,"Supreme Court of the United States, Chevron U.S.A., Inc. v. Natural Resources Defense Council, Inc., Law",SCOTUS Chevron NRDC Case
7,"Huawei, Microsoft, The White House, Artificial intelligence",Huawei Microsoft White House AI
8,"Supreme Court of the United States, Georgia Public Service Commission, Georgia",US Supreme Court Georgia
9,"Joe Biden, Pardon",Biden Pardon
10,"Virginia, Virginia House of Delegates, Repeal, Senate, Glenn Youngkin",Virginia Repeal Youngkin Senate
11,"Cryptocurrency, Ripple Labs, U.S. Securities and Exchange Commission, Brad Garlinghouse",Ripple SEC Cryptocurrency Garlinghouse
12,"European Union, Volodymyr Zelenskyy, Security agreement, President of Ukraine",EU Zelenskyy Ukraine Security
