,raw-group,summarized-query
0,"Joe Biden, Supreme Court of the United States, Donald Trump",Biden Trump SCOTUS
1,"Supreme Court of the United States, Chevron U.S.A., Inc. v. Natural Resources Defense Council, Inc., Law",SCOTUS Chevron NRDC Case
2,"Francis Scott Key Bridge, The White House, Baltimore, United States Congress, Joe Biden, Disaster",Key Bridge White House Biden
3,Supreme Court of the United States,US Supreme Court
4,"Supreme Court of the United States, Lindsey Graham, Democratic Party, United States Senate, Republican Party",SCOTUS Graham Senate Democrats Republicans
5,"Supreme Court of the United States, Voting Rights Act of 1965, Arkansas, Legal case",SCOTUS Voting Rights Arkansas
6,"Hunter Biden, Admission to practice law, Joe Biden, Law, New trial",Biden Law Admission Trial
7,"Jeffrey Epstein, Grand jury",Epstein Grand Jury
8,"Abortion, Iowa, Supreme Court of the United States",Iowa Abortion Supreme Court
9,"PBS NewsHour, 2024",PBS NewsHour 2024
10,"California, Law, Gavin Newsom",California Law Newsom
11,"United States Capitol, Riot, Law enforcement, Felony",Capitol Riot Law Enforcement
