,raw-group,summarized-query
0,"Supreme Court of the United States, Social media, Joe Biden",SCOTUS Biden Social Media
1,"Steve Bannon, Donald Trump, Supreme Court of the United States",Bannon Trump SCOTUS
2,"NATO summit, Washington",NATO Summit Washington
3,"Supreme Court of the United States, Corruption",US Supreme Court Corruption
4,"Jerome Powell, Federal Reserve System, Chair of the Federal Reserve of the United States, Foreign Exchange Market, European Central Bank, Monetary policy, United States Dollar, Christine Lagarde, Central bank",Powell Fed Euro Dollar
5,"John Roberts, Supreme Court of the United States, Samuel Alito",Roberts Alito SCOTUS
6,"Donald Trump, Morgan Stanley, Bond, Yield",Trump Morgan Stanley Bond Yield
7,"Supreme Court of the United States, Chevron U.S.A., Inc. v. Natural Resources Defense Council, Inc., Law",SCOTUS Chevron NRDC Case
8,Supreme Court of the United States,US Supreme Court
9,"Hong Kong, Supreme court, Protest, United Kingdom, Jimmy Lai",Hong Kong Supreme Court Protest
10,"European Union, Volodymyr Zelenskyy, Security agreement, President of Ukraine",EU Zelenskyy Ukraine Security
11,"Virginia House of Delegates, Repeal, Glenn Youngkin",Virginia Delegates Repeal Youngkin
12,"Jeffrey Epstein, Grand jury, Florida",Epstein Grand Jury Florida
13,"The Trump Organization, Donald Trump, Saudi Arabia, Trump Tower, Jeddah, Eric Trump",Trump Saudi Arabia Towers
