,raw-group,summarized-query
0,"Tim Scott, Joe Biden, Supreme Court of the United States, Democratic Party",Scott Biden SCOTUS Democrats
1,"Supreme Court of the United States, Independence Day (United States), Republican Party",US Supreme Court Independence Day
2,"Supreme Court of the United States, Chevron U.S.A., Inc. v. Natural Resources Defense Council, Inc., Law",SCOTUS Chevron Case Law
3,"Supreme Court of the United States, Donald Trump, Riot",SCOTUS Trump Riot
4,Supreme Court of the United States,US Supreme Court
5,"The Trump Organization, Donald Trump, Saudi Arabia, Oman, Trump Tower, Jeddah, Tourism",Trump Saudi Arabia Tourism
6,"Hunter Biden, Admission to practice law, Joe Biden, Law, New trial",Biden Law License Newsworthy
7,"Francis Scott Key Bridge, The White House, Baltimore, United States Congress, Joe Biden, Disaster",Key Bridge White House Congress Biden Disaster
8,"Donald Trump, Kim Jong Un, 2018 North Korea–United States Singapore Summit, Supreme Leader of North Korea, President of the United States, National Public Radio, The White House",Trump Kim Summit North Korea
9,"Josh Duggar, Supreme Court of the United States, 19 Kids and Counting, Appeal",Duggar Court Appeal
10,"Abortion, Iowa, Supreme Court of the United States",Iowa Abortion Supreme Court
11,"Supreme Court of the United States, Corruption",US Supreme Court Corruption
12,"Jeffrey Epstein, Grand jury, Florida",Epstein Grand Jury Florida
