,raw-group,summarized-query
0,"Donald Trump, Joe Biden, Debate, Inflation, United States presidential debates",Trump Biden Debate Inflation
1,"Candidate, Democratic Party",Candidate Democratic Party
2,"Pension, Democratic Party, Pension fund, Bob Casey Jr., Joe Biden",Pension Democratic Fund Biden
3,"Inflation, Personal consumption expenditures price index, Federal Reserve System",Inflation PCE Fed
4,"Jill Biden, Joe Biden, Abortion, First Lady of the United States",Biden Abortion First Lady
5,"Democratic Party, Primary election, New York's 1st Congressional District, CNN, Republican Party",NY 1st Dem Primary CNN
6,"Republican National Convention, Republican Party, Milwaukee",RNC Milwaukee GOP
7,"Debate, Devon, Cornwall, General election, Liberal Democrats, Candidate, Plymouth",Devon Cornwall Election Debate
8,"California, Gavin Newsom, United States Congress, Democratic Party",California Newsom Congress Democrats
9,"Robert F. Kennedy Jr., North Carolina, Ballot, Ballot access, Cornel West, Democratic Party",Kennedy NC Ballot Access
