,raw-group,summarized-query
0,"Supreme Court of the United States, Donald Trump, Riot",SCOTUS Trump Riot
1,"Thomas Massie, Rhonda Massie, Republican Party, Member of Congress, Kentucky",Massie Kentucky GOP Congress
2,"Supreme Court of the United States, Social media, Joe Biden",SCOTUS Social Media Biden
3,"Iowa, Supreme Court of the United States, Abortion law",Iowa SCOTUS Abortion
4,Supreme Court of the United States,US Supreme Court
5,"Gavin Newsom, California, State of the State address",Newsom California Address
6,"Inflation, Personal consumption expenditures price index, Federal Reserve System",Fed Inflation Index
7,"Joe Biden, Debate, Donald Trump, Democratic Party, United States presidential debates",Biden Trump Debate 2020
8,Riot,Riot News
9,"Supreme Court of the United States, Associated Press",SCOTUS Associated Press
10,"Michigan, Government budget, Gretchen Whitmer",Michigan Budget Whitmer
11,"Ana Villafañe, Holland Taylor, Broadway theatre, Nancy Pelosi, Alexandria Ocasio-Cortez, Mitzi E. Newhouse Theater, Diane Paulus",Villafañe Taylor Broadway Pelosi
12,"Republican National Convention, Republican Party, Milwaukee",RNC Republican Milwaukee
