,raw-group,summarized-query
0,"Supreme Court of the United States, Donald Trump, Riot",SCOTUS Trump Riot
1,"Supreme Court of the United States, Social media, Joe Biden",SCOTUS Social Media Biden
2,"John Roberts, Supreme Court of the United States, Chief Justice",Roberts Supreme Court Chief
3,"Supreme Court of the United States, Corruption",US Supreme Court Corruption
4,"Supreme Court of the United States, Law",US Supreme Court Law
5,Supreme Court of the United States,US Supreme Court
6,"Supreme Court of the United States, Georgia Public Service Commission, Georgia",US Supreme Court Georgia
7,"Supreme Court of the United States, SCOTUSblog, July 1, 2024",SCOTUS July 1 2024
8,"Supreme Court of the United States, Associated Press",US Supreme Court AP
9,"California, Law, Gavin Newsom",California Law Newsom
