,raw-group,summarized-query
0,"Supreme Court of the United States, Social media, Joe Biden",SCOTUS Biden Social Media
1,"Stormy Daniels, Donald Trump, Hush money",Daniels Trump Hush Money
2,"Supreme Court of the United States, Donald Trump, Riot",SCOTUS Trump Riot
3,"Supreme Court of the United States, Law, Samuel Alito, Neil Gorsuch, Antonin Scalia",SCOTUS Alito Gorsuch Scalia
4,"Francis Scott Key Bridge, The White House, Baltimore, United States Congress, Joe Biden, Disaster",Key Bridge White House Disaster
5,"Donald Trump, The Trump Organization, Saudi Arabia, Oman, Trump Tower, Jeddah, Tourism",Trump Saudi Arabia Tourism
6,"Hunter Biden, Admission to practice law, Joe Biden, New trial, Law",Biden Law License New
7,Supreme Court of the United States,US Supreme Court
8,"Supreme Court of the United States, Lindsey Graham, Democratic Party, United States Senate, Republican Party",SCOTUS Graham Senate Democrats Republicans
9,"Jen Psaki, Afghanistan, White House Press Secretary, Joe Biden, Axios",Psaki Afghanistan Biden Axios
10,"Jill Biden, Joe Biden, Vogue, First Lady of the United States, Democratic Party",Biden Vogue First Lady
11,"Supreme Court of the United States, Corruption",US Supreme Court Corruption
