,raw-group,summarized-query
0,"Stock, Jerome Powell, Interest rate",Stock Powell Interest Rate
1,"Liquefied natural gas, Federal Energy Regulatory Commission, Joe Biden",LNG FERC Biden
2,"Supreme Court of the United States, Social media, Joe Biden",SCOTUS Social Media Biden
3,"Supreme Court of the United States, Donald Trump, Riot",SCOTUS Trump Riot
4,"Civil Rights Act of 1964, Law",1964 Civil Rights Act
5,"Indiana, Medicaid, Children's Health Insurance Program",Indiana Medicaid CHIP
6,"Jeffrey Epstein, Grand jury, Florida",Epstein Grand Jury Florida
7,"George Floyd, Appeal, Police officer",Floyd Appeal Police Officer
8,"Supreme Court of the United States, Corruption",US Supreme Court Corruption
9,"Electronic cigarette, Supreme Court of the United States, Food and Drug Administration",E-Cigarette FDA SCOTUS
10,"Netherlands, Dick Schoof, Geert Wilders, Government, Far-right politics",Netherlands Schoof Wilders Government
11,"NATO summit, Washington",NATO Summit Washington
