,raw-group,summarized-query
0,"Supreme Court of the United States, Chevron U.S.A., Inc. v. Natural Resources Defense Council, Inc., Law",SCOTUS Chevron Case Law
1,"Thomas Massie, Rhonda Massie, Republican Party, Member of Congress, Kentucky",Massie Family Kentucky
2,"Supreme Court of the United States, Social media, Joe Biden",SCOTUS Biden Social Media
3,"Supreme Court of the United States, Donald Trump, United States Capitol, Riot",Supreme Court Trump Capitol Riot
4,"Iowa, Abortion law, Supreme Court of the United States",Iowa Abortion SCOTUS
5,"Infinera, Nike, Stock, Donald Trump, Nasdaq, Walgreens, New York Stock Exchange",Infinera Nike Stock Trump
6,"Inflation, Personal consumption expenditures price index, Federal Reserve System",Fed Inflation PCE Query
7,"Michigan, Government budget, Gretchen Whitmer",Michigan Whitmer Budget
8,Supreme Court of the United States,US Supreme Court
9,"Jill Biden, Joe Biden, Abortion, First Lady of the United States",Biden Abortion First Lady
10,"Joe Biden, 2024, Donald Trump, Debate, Democratic Party",Biden Trump 2024 Debate
11,"Scripps News, Andrew Rafferty, Joe St. George, Georgia, Debate, United States presidential debates",Scripps Georgia Debate Rafferty
12,"California, United States Congress, Gavin Newsom, Democratic Party",California Newsom Congress Democrats
13,"Democratic Party, Primary election, New York's 1st Congressional District, Republican Party, CNN",NY 1st Dem Rep Primary
14,"Merrick Garland, Republican Party, Joe Biden, United States House of Representatives, Robert Kyoung Hur",Garland Biden House Hur
15,"Pennsylvania, Government budget, Josh Shapiro",Pennsylvania Shapiro Budget
16,"Charter school, Oklahoma, Supreme Court of the United States, School",Oklahoma Charter School Supreme Court
