,raw-group,summarized-query
0,"Supreme Court of the United States, Donald Trump, Riot",SCOTUS Trump Riot
1,"Supreme Court of the United States, Social media, Joe Biden",SCOTUS Biden Social Media
2,"Jeffrey Epstein, Grand jury, Florida",Epstein Grand Jury Florida
3,"Stock, Jerome Powell, Interest rate",Powell Stock Interest Rate
4,"Joe Biden, Liquefied natural gas, United States federal judge",Biden LNG Judge
5,"Joe Biden, Heat wave",Biden Heat Wave
6,"Novo Nordisk, Joe Biden, Bernie Sanders, Eli Lilly and Company",Biden Sanders Pharma Companies
7,"John Roberts, Supreme Court of the United States, Samuel Alito",Roberts Alito Supreme Court
8,"George Floyd, Appeal, Police officer",Floyd Appeal Police Officer
9,"Supreme Court of the United States, Chevron U.S.A., Inc. v. Natural Resources Defense Council, Inc., Law",SCOTUS Chevron NRDC Case
10,"Supreme Court of the United States, Corruption",US Supreme Court Corruption
