,raw-group,summarized-query
0,"The Stonewall Inn, Joe Biden, New York, Stonewall National Monument, Stonewall riots",Stonewall Biden New York
1,"Jill Biden, Joe Biden, Abortion, First Lady of the United States",Biden Abortion First Lady
2,"Supreme Court of the United States, Chevron U.S.A., Inc. v. Natural Resources Defense Council, Inc., Law",Supreme Court Chevron Case
3,"Virginia, Virginia House of Delegates, Repeal, ex-serviceman, Glenn Youngkin",Virginia Repeal Youngkin Delegates
4,"Supreme Court of the United States, Social media, Joe Biden",SCOTUS Biden Social Media
5,"Supreme Court of the United States, Donald Trump",SCOTUS Trump
6,"Donald Trump, Republican Party, The Heritage Foundation",Trump Republican Heritage Foundation
7,"Wisconsin, Absentee ballot, Ballot",Wisconsin Absentee Ballot
8,"Iran, National Council of Resistance of Iran, Maryam Rajavi, People's Mojahedin Organization of Iran, 2024",Iran Resistance 2024
9,"Felony, Donald Trump, Criminal record, Law",Trump Felony Law Record
10,"Stock, Japanese Yen, Federal Reserve System, Stock market, Joe Biden, France",Yen Stock Biden Fed
11,"Abortion, Iowa, Supreme Court of the United States",Iowa Abortion SCOTUS
12,"Republican Party, Joe Biden, House Republican Conference, Veto",GOP Biden House Veto
13,"California, Government budget, Gavin Newsom, Health care, Wage",California Newsom Budget Health Wage
14,"Absentee ballot, Early voting, Supreme Court of the United States",US Absentee Early Voting Court
15,Supreme Court of the United States,US Supreme Court
