,raw-group,summarized-query
0,"Donald Trump, Joe Biden, Electric vehicle",Trump Biden Electric Vehicle
1,"Bernie Sanders, Democratic Party, Joe Biden, Wisconsin, United States Senator",Sanders Biden Wisconsin Senator
2,"North Korea, United States, Donald Trump, South Korea, Thomson Reuters Corporation",Trump North Korea Reuters
3,"Abortion, Joe Biden",Biden Abortion
4,"Ukraine, Joe Biden, Russia, CNN",Ukraine Biden Russia CNN
5,"Nikki Haley, Donald Trump Jr., Republican Party, Vice President of the United States, Joe Biden",Haley Trump Jr Biden VP
6,"Debate, Devon, Cornwall, General election, Liberal Democrats, Candidate",Devon Cornwall Election Debate
7,"Donald Trump, Afghanistan, President of the United States, Reuters",Trump Afghanistan Reuters
8,"Scripps News, Andrew Rafferty, Joe St. George, Georgia, Debate, United States presidential debates",Scripps Rafferty Georgia Debate
9,"Donald Trump, Riot, United States Capitol, January 6",Trump Riot Capitol January
10,"Joe Biden, Inflation",Biden Inflation
11,"Iran, Joe Biden, Presidential election, Absentee ballot",Iran Biden Election Ballot
12,"Democratic Party, Primary election, New York's 1st Congressional District, CNN, Republican Party",NY 1st Dem Primary CNN
13,"Ukraine, NATO, Volodymyr Zelenskyy, Jens Stoltenberg",Ukraine NATO Zelenskyy Stoltenberg
