,raw-group,summarized-query
0,"Supreme Court of the United States, Chevron U.S.A., Inc. v. Natural Resources Defense Council, Inc., Law",SCOTUS Chevron Case Law
1,"Thomas Massie, Rhonda Massie, Republican Party, Member of Congress, Kentucky",Massie Rhonda Kentucky Congress
2,"Supreme Court of the United States, Social media, Joe Biden",SCOTUS Biden Social Media
3,"Steve Bannon, Supreme Court of the United States, Donald Trump, Contempt of Congress",Bannon Trump SCOTUS Contempt
4,"Jill Biden, First Lady of the United States, Traverse City, Joe Biden, Michigan",Jill Biden Traverse City Michigan
5,"Iowa, Supreme Court of the United States, Abortion law",Iowa SCOTUS Abortion
6,"United States Capitol, Riot, Felony, Law enforcement",Capitol Riot Felony Law
7,Supreme Court of the United States,US Supreme Court
8,"California, Government budget, Gavin Newsom, Health care, Wage",California Newsom Budget Health Wage
9,"Joe Biden, Donald Trump, Debate",Biden Trump Debate
10,"Kamala Harris, Vice President of the United States, Democratic Party, Pakistan, Joe Biden",Harris Biden Pakistan VP
11,"Democratic National Convention, Chicago, Democratic Party, Protest, United Center",Chicago DNC Protest
12,"Supreme Court of the United States, Associated Press",US Supreme Court AP
13,"Yield, Inflation, Federal Reserve System, Personal consumption expenditures price index",Yield Inflation Fed PCE
