,raw-group,summarized-query
0,"Candidate, Democratic Party",Candidate Democratic Party
1,"Hamas, Joe Biden, Israel, Democratic Party, The White House, Adam Schiff, Kamala Harris",Hamas Biden Israel Democrats
2,"Joe Biden, Donald Trump, Debate, CNN, President of the United States",Biden Trump Debate CNN
3,"Debate, Devon, Cornwall, General election, Liberal Democrats, Candidate",Devon Cornwall Election Debate
4,"Democratic Party, Primary election, New York's 1st Congressional District, CNN, Republican Party",New York Democratic Primary CNN
5,"United States presidential debates, Debate, Republican Party",US Presidential Debate Republican
6,"Republican National Convention, Republican Party, Milwaukee",RNC Republican Party Milwaukee
7,"Robert F. Kennedy Jr., North Carolina, Ballot, Ballot access, Cornel West, Democratic Party",Kennedy NC Ballot Access
8,"North Korea, United States, Donald Trump, South Korea, Thomson Reuters Corporation",North Korea Trump Reuters Korea
9,"Masoud Pezeshkian, Iran, Tehran, Presidential election, Candidate, Presidential nominee",Pezeshkian Iran Presidential Candidate
10,"Gavin Newsom, California, State of the State address",Newsom California Address
11,"Recall election, Robin Vos, Republican Party, Wisconsin Elections Commission, Donald Trump",Vos Recall Wisconsin Trump
12,"U.S. Steel, Nippon Steel, Joe Biden, United States Senator",Steel Biden Senator US
13,"Russia, Ukraine, Vladimir Putin, Russian Armed Forces, Fragging, Desertion",Russia Ukraine Putin Desertion
14,"Merrick Garland, Republican Party, Joe Biden, Robert Kyoung Hur, United States House of Representatives",Garland Biden Hur GOP House
15,"Abortion, Joe Biden",Biden Abortion
