,raw-group,summarized-query
0,"Candidate, Democratic Party",Candidate Democratic Party
1,"Joe Biden, Debate, Donald Trump, Republican Party, Geoff Duncan, Democratic Party",Biden Trump Debate Party
2,"Republican National Convention, Republican Party, Milwaukee",RNC Republican Party Milwaukee
3,"North Korea, United States, Donald Trump, South Korea, Thomson Reuters Corporation",North Korea Trump Reuters
4,"Debate, Devon, Cornwall, General election, Liberal Democrats, Candidate",Devon Cornwall Election Debate
5,"Democratic Party, George Latimer, Primary election, New York's 16th Congressional District, AIPAC",Latimer NY 16th Primary
6,"Robert F. Kennedy Jr., North Carolina, Ballot, Ballot access, Cornel West, Democratic Party",RFK Jr North Carolina Ballot
7,"United States presidential debates, Debate, Stock, Asia–Pacific, China",US Presidential Debate Stock China
8,"Donald Trump, Afghanistan, President of the United States, Reuters",Trump Afghanistan President Reuters
9,"Libertarian Party, Libertarianism, Presidential election, Donald Trump, John Stossel, Candidate",Libertarian Trump Stossel Candidate
