,raw-group,summarized-query
0,"Candidate, Democratic Party",Candidate Democratic Party
1,"Planned Parenthood, Joe Biden, Abortion, Democratic Party",Biden Planned Parenthood Abortion
2,"Donald Trump, United States presidential debates, Joe Biden, Debate",Trump Biden Debate
3,"Russia, Ukraine, Aleksandr I. Bastrykin, Immigration, Naturalization",Russia Ukraine Bastrykin Immigration
4,"Democratic Party, Primary election, New York's 1st Congressional District, CNN, Republican Party",NY-1 Democratic Primary Congressional
5,"China, Li Shangfu, Communist Party of China, Communism, Wei Fenghe, Corruption, Central Military Commission, Xi Jinping, Defence minister",China Li Shangfu Corruption
6,"Republican National Convention, Republican Party, Milwaukee",RNC Republican Milwaukee
7,"Debate, Devon, Cornwall, General election, Liberal Democrats, Candidate",Devon Cornwall Election Debate
8,"California, Supreme Court of California, Ballot, Gavin Newsom",California Supreme Court Newsom Ballot
9,"Robert F. Kennedy Jr., North Carolina, Ballot, Ballot access, Cornel West, Democratic Party",Kennedy North Carolina Ballot Access
10,"North Korea, United States, Donald Trump, South Korea, Thomson Reuters Corporation",Trump North Korea Reuters Korea
11,"Nikki Haley, Donald Trump Jr., Republican Party, Vice President of the United States, Joe Biden",Haley Trump Jr Biden VP
12,"Donald Trump, Riot, United States Capitol, January 6, Associated Press",Trump Riot Capitol Jan 6
13,"U.S. Steel, Nippon Steel, Joe Biden, United States Senator",Steel Biden Senator USA
