,raw-group,summarized-query
0,"Hamas, Joe Biden, Israel, Democratic Party, The White House, Adam Schiff, Kamala Harris",Hamas Biden Israel Democrats
1,"Donald Trump, Joe Biden, Immigration",Trump Biden Immigration
2,"Candidate, Democratic Party",Candidate Democratic Party
3,"Donald Trump, Brian Kemp, Republican Party, Primary election, Georgia, Debate",Trump Kemp Georgia Primary Debate
4,"Debate, Devon, Cornwall, General election, Liberal Democrats, Candidate",Devon Cornwall Debate Election
5,"Nikki Haley, Donald Trump Jr., Republican Party, Vice President of the United States, Joe Biden",Haley Trump Jr Biden VP
6,"Donald Trump, Afghanistan, President of the United States, Reuters",Trump Afghanistan President Reuters
7,"Libertarian Party, Libertarianism, Presidential election, Donald Trump, John Stossel, Candidate",Libertarian Trump Stossel Candidate
8,"Democratic Party, George Latimer, Primary election, New York's 16th Congressional District, AIPAC",Latimer NY 16th Primary
9,"Gavin Newsom, California, State of the State address",Newsom California Address
10,"Republican National Convention, Republican Party, Milwaukee",RNC Republican Party Milwaukee
11,"Democratic Party, Republican Party",Democrat Republican Parties
12,"Ukraine, Joe Biden, Russia, CNN",Ukraine Biden Russia CNN
13,"Robert F. Kennedy Jr., North Carolina, Ballot, Ballot access, Cornel West, Democratic Party",RFK Jr NC Ballot Access
14,"North Korea, United States, Donald Trump, South Korea, Thomson Reuters Corporation",Trump North Korea Reuters
15,"Iran, 2024, Presidential election",Iran 2024 Election
