,raw-group,summarized-query
0,"Jill Biden, Joe Biden, Abortion, First Lady of the United States",Biden Abortion First Lady
1,"Thomas Massie, Rhonda Massie, Republican Party, Member of Congress, Kentucky",Massie Rhonda Kentucky Congress
2,"Republican Party, John McGuire, Donald Trump, Virginia's 5th Congressional District, Primary election, Virginia",McGuire Trump Virginia Primary
3,"Supreme Court of the United States, Donald Trump, Riot",SCOTUS Trump Riot
4,"Supreme Court of the United States, Social media, Joe Biden",US Supreme Court Biden Social
5,"Wisconsin, Absentee ballot, Ballot",Wisconsin Absentee Ballot
6,"Virginia, Virginia House of Delegates, Glenn Youngkin, Repeal",Virginia Youngkin Repeal
7,"Abortion, Iowa, Supreme Court of the United States",Iowa Abortion Supreme Court
8,"California, Government budget, Gavin Newsom, Health care, Wage",California Newsom Budget Health Wage
9,Supreme Court of the United States,US Supreme Court
10,"Consensys, U.S. Securities and Exchange Commission, Cryptocurrency, Ethereum, Proof of stake",Consensys SEC Cryptocurrency Ethereum
11,"Joe Biden, Donald Trump, Spin room, Debate, Democratic Party, United States presidential debates",Biden Trump Debate Spin
12,"Iran, Joe Biden, Absentee ballot, Presidential election",Iran Biden Absentee Election
13,"Absentee ballot, Early voting, Supreme Court of the United States",US Absentee Early Voting Court
14,"Far-right politics, National Rally, Marine Le Pen, Donald Trump, Populism",Far-Right Le Pen Trump
15,"Inflation, Personal consumption expenditures price index, Federal Reserve System",Inflation PCE Fed
16,"Democratic National Convention, Chicago, Democratic Party, Protest, United Center",Chicago DNC Protest
17,"Alaska, Joe Biden, Bureau of Land Management",Alaska Biden BLM
