,raw-group,summarized-query
0,"The Stonewall Inn, Joe Biden, New York, Stonewall National Monument, Stonewall riots",Stonewall Biden New York
1,"Democratic National Convention, Chicago, Democratic Party, Protest, United Center",Chicago DNC Protest
2,"Republican Party, John McGuire, Donald Trump, Virginia's 5th Congressional District, Primary election, Virginia",McGuire Trump Virginia GOP
3,"Jill Biden, Joe Biden, Abortion, First Lady of the United States",Biden Abortion First Lady
4,"Tarrant County, Indictment, jailer, Prisoner, Bill Waybourn",Tarrant County Indictment Waybourn
5,"Joe Biden, Twenty-fifth Amendment to the United States Constitution, Republican Party, Kamala Harris, Vice President of the United States, Democratic Party",Biden 25th Amendment Harris
6,"Lloyd Austin, Derek H. Chollet, Antony Blinken, United States Department of Defense, The Pentagon, Joe Biden, Chief of staff",Austin Chollet Blinken Pentagon Biden
7,"Supreme Court of the United States, Social media, Joe Biden",US Supreme Court Biden Social
8,"Supreme Court of the United States, Donald Trump",SCOTUS Trump
9,"Francis Scott Key Bridge, Baltimore, The White House, United States Congress, Disaster, Joe Biden",Key Bridge Baltimore Disaster Biden
10,"Supreme Court of the United States, Chevron U.S.A., Inc. v. Natural Resources Defense Council, Inc., Law",SCOTUS Chevron NRDC Case
11,"Michigan, Government budget, Gretchen Whitmer",Michigan Budget Whitmer
12,"Mark Cuban, Joe Biden, Donald Trump, Debate, Dallas Mavericks",Cuban Biden Trump Debate Mavericks
13,"Abortion, Iowa, Supreme Court of the United States",Iowa Abortion SCOTUS
14,"Hunter Biden, Admission to practice law, Joe Biden, Law, New trial",Biden Law License New Trial
15,"Iran, Presidential election, Ebrahim Raisi",Iran Raisi Election
16,Supreme Court of the United States,US Supreme Court
