,raw-group,summarized-query
0,"Joe Biden, Donald Trump, Debate, CNN, President of the United States",Biden Trump Debate CNN
1,"Debate, 2024, United States presidential debates",2024 US Presidential Debate
2,"North Korea, United States, Donald Trump, South Korea, Thomson Reuters Corporation",North Korea Trump US Korea
3,"Kamala Harris, Vice President of the United States, Democratic Party, Joe Biden, Pakistan",Harris Biden Pakistan VP
4,"Donald Trump, Riot, United States Capitol, January 6",Trump Capitol Riot January
5,"Abortion, Joe Biden",Biden Abortion
6,"Debate, Devon, Cornwall, General election, Liberal Democrats, Candidate",Devon Cornwall Debate Election
7,"Republican Party, John McGuire, Donald Trump, Virginia's 5th Congressional District, Primary election, Virginia",McGuire Trump Virginia Primary
8,"Joe Biden, Inflation",Biden Inflation
9,"Joe Biden, Immigration",Biden Immigration
10,"Hunter Biden, Admission to practice law, Joe Biden, New trial, Law",Biden Law Admission Trial
11,"Estonia, NATO, Prime Minister of Estonia, Kaja Kallas, Jens Stoltenberg, Ukraine, Secretary General of NATO",Estonia NATO Ukraine Leaders
